,mean,max,min,r,std,vol,fd
58,0.0007162444197052277,0.0019536412980733684,-0.0005211524586629131,0.0016393504998811806,0.0008249312522454272,0.0024747937567362816,0.00032178233308109786
59,0.0011357738153451248,0.002463557724897727,-0.00019201009420747694,0.0020976469781994853,0.0008851892730350678,0.002655567819105204,0.0004950466285698895
60,0.0004830654054013129,0.00347191896002439,-0.0025057881492217644,-0.003263542049719059,0.0019925690364153846,0.005977707109246154,0.0008935604358529664
61,0.0003438347551758408,0.0033975613591488213,-0.002709891848797139,-0.0005602879530734262,0.002035817735981987,0.0061074532079459605,0.001289854759205049
62,-3.209552821603619e-05,0.0028181014541156443,-0.002882292510547717,-7.364511636836163e-05,0.0019001313215544539,0.005700393964663361,0.0015277277238464639
63,-0.0003508728110004344,0.0022260454721544725,-0.002927791094155341,4.5464085959189586e-05,0.001717945522103271,0.0051538365663098135,0.0017063305778180326
64,-0.0007704022066403315,0.0011275005672452694,-0.0026683049805259324,0.0,0.001265268515923734,0.003795805547771202,0.001782346426395766
65,-0.00011769379669651966,0.00021915826649948768,-0.000454545859892527,0.0,0.0002245680421306716,0.0006737041263920147,0.0014287462275388233
66,-6.140426184868741e-06,5.1207530407089865e-05,-6.348838277682735e-05,-2.5211005151716256e-06,3.8231971061305734e-05,0.00011469591318391721,0.001029229074554687
67,-5.145430338137621e-05,0.00013705023743854267,-0.0002399588442012951,-0.000300214502350899,0.00012566969387994593,0.0003770090816398378,0.0006743367490197855
