,mean,max,min,r,std,vol,fd
53,0.0005017728449693654,0.0011222652177530355,-0.00011871952781430473,0.0009057958784044643,0.00041366158185578004,0.0012409847455673402,0.00028109430545077526
54,0.00070829893860721,0.0011605693683237074,0.0002560285088907125,0.0009271736252118706,0.0003015136198109983,0.0009045408594329949,0.0003236833270113077
55,0.0005906279727962531,0.0013680047982326088,-0.00018674885264010276,-0.0003996744527843481,0.0005182512169575706,0.0015547536508727115,0.00040205028607814814
56,0.0006357487467964666,0.0014727867177149498,-0.00020128922412201663,0.0012003607823902794,0.0005580253139456555,0.0016740759418369664,0.00043369298337927553
57,0.0005601658139373236,0.0014449728207420783,-0.0003246411928674311,0.0001671732364643519,0.0005898713378698364,0.0017696140136095094,0.0004762646140879681
58,0.0003963944002828894,0.001273636478330608,-0.00048084767776482914,8.69388101322932e-05,0.0005848280520318124,0.001754484156095437,0.0005104979081231745
59,0.0002721328395720829,0.0010542597702927845,-0.0005099940911486188,0.00030586582165783796,0.0005214179538138011,0.0015642538614414033,0.0005544787749237351
60,0.00017830121285032063,0.0011655333908114692,-0.000808930965110828,-0.0008688325863931592,0.0006581547853074325,0.0019744643559222973,0.0005824594885937074
61,-1.5803982649044726e-05,0.0006330234127124303,-0.0006646313780105198,0.0002298348048934526,0.00043255159690765003,0.00129765479072295,0.0005573647451861064
62,6.283090731115529e-06,0.0006722815734325476,-0.0006597153919703166,0.0002776086033651532,0.00044399898846762137,0.0013319969654028642,0.0005281902753056634
63,-0.00010436592384281996,0.0006122809050586564,-0.0008210127527442963,-0.0004663062627373843,0.0004777645526009842,0.0014332936578029527,0.0005067775754194978
64,-0.00020805693844626387,0.0004391919003701483,-0.0008553057772626761,-0.00021258925135938172,0.00043149922587760813,0.0012944976776328243,0.0004887938298322591
65,-8.715493611773204e-06,0.0004200318542846315,-0.0004374628415081779,0.00012787463777929418,0.0002858315652642698,0.0008574946957928094,0.0004143291858236265
